Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1876-05,-0.59042513,-0.8079633,-0.3728869
1876-06,-0.35227904,-0.57574004,-0.12881808
1876-07,-0.21372749,-0.41223747,-0.015217529
1876-08,-0.32724735,-0.5655297,-0.08896501
1876-09,-0.41784137,-0.63995034,-0.19573241
1876-10,-0.29983562,-0.47799063,-0.12168063
1876-11,-0.60684675,-0.8142865,-0.39940697
1876-12,-0.64341265,-0.89493567,-0.3918896
1877-01,-0.41108242,-0.6209636,-0.20120125
1877-02,-0.20926146,-0.4276892,0.009166266
1877-03,-0.091358565,-0.31345627,0.13073914
1877-04,-0.3459171,-0.5490583,-0.14277588
1877-05,-0.41127652,-0.61740625,-0.20514679
1877-06,-0.13819988,-0.35527813,0.078878365
1877-07,-0.016253214,-0.22757587,0.19506943
1877-08,0.21073052,-0.011481554,0.4329426
1877-09,0.10758122,-0.07691583,0.29207826
1877-10,0.11331653,-0.0732508,0.29988387
1877-11,0.03397783,-0.15571973,0.2236754
1877-12,-0.05556291,-0.2958206,0.18469477
1878-01,-0.06979711,-0.26203996,0.12244575
1878-02,0.22940955,0.011935646,0.44688344
1878-03,0.36132926,0.11839555,0.604263
1878-04,0.18853739,-0.007090995,0.38416576
1878-05,-0.122401394,-0.33232173,0.08751895
1878-06,0.010291125,-0.20308198,0.22366422
1878-07,-0.0772364,-0.28020662,0.12573381
1878-08,-0.04655335,-0.26132223,0.16821553
1878-09,0.020835022,-0.16271828,0.20438832
1878-10,-0.1650159,-0.33420274,0.004170922
1878-11,-0.14255811,-0.34657767,0.061461445
1878-12,-0.3226224,-0.5510177,-0.09422704
1879-01,-0.23778471,-0.4489502,-0.026619231
1879-02,-0.26602048,-0.49155372,-0.040487222
1879-03,-0.2583884,-0.48758295,-0.029193843
1879-04,-0.38240048,-0.5881249,-0.17667612
1879-05,-0.34387106,-0.53022873,-0.15751341
1879-06,-0.28325993,-0.47607452,-0.09044534
1879-07,-0.2641225,-0.46030587,-0.0679391
1879-08,-0.26534295,-0.48025763,-0.05042825
1879-09,-0.23556925,-0.42141894,-0.04971956
1879-10,-0.15905875,-0.33532667,0.017209174
1879-11,-0.397338,-0.6246113,-0.17006464
1879-12,-0.55045533,-0.81308776,-0.2878229
1880-01,-0.39386344,-0.60645384,-0.181273
1880-02,-0.4498938,-0.6612949,-0.23849276
1880-03,-0.19438674,-0.4402409,0.051467415
1880-04,-0.33803284,-0.56909233,-0.106973305
1880-05,-0.3253502,-0.5249128,-0.1257876
1880-06,-0.38053036,-0.57394856,-0.18711212
1880-07,-0.3148068,-0.5000183,-0.12959526
1880-08,-0.10718303,-0.31699923,0.10263317
1880-09,-0.29703382,-0.48228338,-0.11178426
1880-10,-0.39094922,-0.54256344,-0.23933502
1880-11,-0.28068957,-0.48973435,-0.07164481
1880-12,-0.3172651,-0.57946,-0.055070166
1881-01,-0.21463032,-0.42456862,-0.004692002
1881-02,-0.22458804,-0.4410218,-0.008154285
1881-03,-0.24820606,-0.4754435,-0.02096861
1881-04,-0.06252021,-0.24772863,0.1226882
1881-05,-0.12189843,-0.31805423,0.074257374
1881-06,-0.39908272,-0.60632294,-0.19184254
1881-07,-0.19404487,-0.38651505,-0.001574701
1881-08,-0.13816847,-0.34755346,0.07121651
1881-09,-0.3007603,-0.48109457,-0.120426044
1881-10,-0.2305081,-0.3861735,-0.0748427
1881-11,-0.38121367,-0.57584876,-0.18657859
1881-12,-0.27132502,-0.49155435,-0.05109568
1882-01,-0.025385773,-0.21284647,0.16207492
1882-02,-0.11726177,-0.29848227,0.06395874
1882-03,-0.17708035,-0.37251085,0.018350175
1882-04,-0.31474164,-0.4901041,-0.13937919
1882-05,-0.32572997,-0.50725716,-0.14420277
1882-06,-0.39225483,-0.5854527,-0.19905701
1882-07,-0.34102684,-0.524619,-0.15743467
1882-08,-0.24510053,-0.45590413,-0.03429691
1882-09,-0.15044588,-0.33297318,0.03208143
1882-10,-0.3990836,-0.56060207,-0.23756516
1882-11,-0.40350994,-0.59063745,-0.2163824
1882-12,-0.65474,-0.8827449,-0.426735
1883-01,-0.47277278,-0.6465994,-0.2989461
1883-02,-0.4854322,-0.6739853,-0.29687917
1883-03,-0.26636964,-0.44524446,-0.08749482
1883-04,-0.43903488,-0.6062966,-0.27177316
1883-05,-0.3400283,-0.5237819,-0.15627469
1883-06,-0.1901544,-0.38033026,2.14E-05
1883-07,-0.21858145,-0.38680118,-0.05036173
1883-08,-0.28788334,-0.48319572,-0.092570975
1883-09,-0.3062682,-0.46854252,-0.14399385
1883-10,-0.3400996,-0.49213037,-0.1880688
1883-11,-0.39625064,-0.58992153,-0.20257974
1883-12,-0.41481745,-0.6323676,-0.19726728
1884-01,-0.44355372,-0.63514644,-0.25196096
1884-02,-0.33285657,-0.5167038,-0.14900933
1884-03,-0.50546813,-0.7000096,-0.31092662
1884-04,-0.5089616,-0.67386585,-0.34405738
1884-05,-0.56562126,-0.7247028,-0.40653968
1884-06,-0.5137893,-0.6937361,-0.3338425
1884-07,-0.5658637,-0.7341247,-0.39760268
1884-08,-0.429122,-0.6203238,-0.23792021
1884-09,-0.5043303,-0.6659263,-0.34273428
1884-10,-0.463346,-0.614259,-0.31243297
1884-11,-0.5852065,-0.7801215,-0.3902915
1884-12,-0.4897219,-0.7129149,-0.2665289
